Metrics,Ruangguru,Zenius
Size,4982.0,2123.0
Order,5488.0,2605.0
Density,0.00033089077230517296,0.0006259379487043409
Modularity,0.8731954103419803,0.8882064391766757
Diameter,19.0,13.0
Average Path Length,5.250536797966828,3.9469252085032935
Average Degree,1.815597667638484,1.6299424184261035
Connected Component,1022.0,587.0
