Source,Target,Weight
pfmmipy,kamoomile,1.0
pfmmipy,abcdheyaa,1.0
pfmbahagia,schfess,1.0
may0naizee,kiddieasha,1.0
petzoldzzz,schfess,1.0
permisipaket_,idextratime,1.0
pdistira3,sbmptnfess,1.0
perempuanmuuuu,utbkfess,1.0
maungrice,dekapanfiksii,1.0
pdkxbxj,ancoraimparo___,1.0
pengenapaaja,cittairlanie,1.0
peacebeuponn,schfess,1.0
pengenambiis,press1forambis,1.0
pemudayouth,sbmptnfess,1.0
pejuanggkuliah,schfess,1.0
pejuangalmet,atypicali,1.0
peciintambiss,ambisfs,1.0
peachqrose,studywystar,1.0
mauuaungambis,schfess,1.0
mauuujadidokter,sbmptnfess,1.0
maxpooling2d,piraaaa_,1.0
pebiyjinnie,sbmptnfess,1.0
peachtachioo,subschfess,1.0
peachymochaa,schfess,1.0
pfmmipy,brianbelajar,1.0
maukokumi,worksfess,1.0
pixiexstclilo_,sbmptnfess,1.0
pfmmipy,neologii,1.0
pixieeeest,schfess,1.0
matchamaeleon,schfess,1.0
piwchicks,englishfess_,1.0
pinnepiinn,alloeverea,1.0
pinginmasukfk,rococo_chico,1.0
pinginjulid,schfess,1.0
pbooyoungg,kuyangcangtip,1.0
mariambisptkn,sbmptnfess,1.0
pillowyarna,1204s0s,1.0
pikarosiawati,schfess,1.0
matchamaeleon,ssssharpay,1.0
physicsly,sabdaps,1.0
physblacks,potatoesavire,1.0
matchamaeleon,subschfess,1.0
phoriam,txtapaadanya,1.0
philosophyhunt,reductocurse,1.0
pharmacidst,schfess,1.0
pcrnanamikento,schfess,1.0
pfmstudy,schfess,1.0
pfmsma,gxuling,1.0
matchamaeleon,vminenths,1.0
matchikaaa,dugongcina,1.0
maukimyugyeom1,bertanyarl,1.0
piltropy,jaejaewoonie,1.0
pweasev,schfess,1.0
pusingbgthuft,nowsantuy,1.0
rendiismail22,itoff27,1.0
rmomiyy,sbmptnfess,1.0
rllazzz,schfess,1.0
rkhmdhifa,utbkfess,1.0
madamemoisse,ljskkkx,1.0
rixskt,utbkfess,1.0
riusuir_,sbmptnfess,1.0
rinnebekasi_,jpfbase,1.0
rillakuman,subschfess,1.0
rillakuman,schfess,1.0
rilexnchillin,schfess,1.0
rigelarion,schfess,1.0
rigelarion,sbmptnfess,1.0
riffuda,panggilajazul,1.0
rifainthebuild1,mactematika,1.0
ridincullus,bertanyarl,1.0
richw0mann,ustadchen,1.0
richw0mann,convomf,1.0
rhsntaa,sbmptnfess,1.0
rhestudy,subschfess,1.0
madamemoisse,subschfess,1.0
rheexca,s1jabats,1.0
retnymala,subschfess,1.0
rerwrho,bertanyarl,1.0
replayrepliy,miund,1.0
replayrepliy,faizanka_,1.0
robyhmz,sbmptnfess,1.0
madamemoisse,cuwprint,1.0
roeversinceny,diveinkyoto,1.0
rua_area,iyakngarepfkui,1.0
sabilarrrr,zenius_oliv,1.0
sabdaps,raccoonamatata_,1.0
sabdaps,adambagaskara,1.0
s4turnrush,asyastudyy,1.0
rydeell,fuckutebeka,1.0
rvnclwsly,sabdaps,1.0
rutorenang,jihoonbakso,1.0
rumanizz,subschfess,1.0
rubyredvelvet,chocyuhyun,1.0
rubbymarkie,preciousjh17,1.0
ruangguyu_,melysantoso_,1.0
mabokwonwoo,schfess,1.0
roeversinceny,sunfairry,1.0
machtyaaa,jaketangsel,1.0
rsmn_vr,mogiisgilang,1.0
rruthieee,sbmptnfess,1.0
rrenjunh,schfess,1.0
rrachang,stanmenfess,1.0
rr4nd0mm,schfess,1.0
rotiboeaya_,cerephaka,1.0
rosettaile,koumeowing,1.0
rosesty_95,pinkeuza,1.0
roseetad,sbmptnfess,1.0
romeobogeng,schfess,1.0
renlilsecret,utbkfess,1.0
renataagustin17,schfess,1.0
puttrrrri,brandambissador,1.0
renaldiwahyu_,fotosyut,1.0
rafisetiawanze1,sbmptnfess,1.0
raenjunluvena,mgajhnsz,1.0
raeambisbesok,hiromi_daiji,1.0
raeambisbesok,faniix1,1.0
raaazaaac,betaquari,1.0
quip_zenshare,yongiepurple,1.0
quip_zenshare,vkfluffy,1.0
quip_zenshare,suyutifarid,1.0
mamaselusin,sbmptnfess,1.0
querencisal,convomf,1.0
querencieaj,subschfess,1.0
querencieaj,chewmist,1.0
quereencialism_,agnesdella7,1.0
marciwiyi,sbmptnfess,1.0
quayntrella,sbmptnfess,1.0
qraece,sbmptnfess,1.0
qonitaarda,subschfess,1.0
qheejin,miyeeoon,1.0
qavten,bertanyarl,1.0
pyovn,schfess,1.0
pwumpiie,studstudiee,1.0
pwtysntc,subschfess,1.0
panggilgua1,mariambisptkn,1.0
puuffffffffffff,arucannn,1.0
