Node,Eigenvector Centrality
schfess,0.6941058636726178
subschfess,0.1088913996495772
sbmptnfess,0.06608891829147828
zenius_oliv,0.054261054643829625
hopefullyperf,0.0514460309060088
byunpov,0.04863647273339942
zenbyzaa,0.04585417843975053
amsterdamlaf,0.045832340086218136
ftievi,0.04561610533388446
keyystudies,0.04317922146092681
matchamaeleon,0.04237044748191769
mitrabelajarmu,0.04222078963793942
sedikidnormal,0.042098395013498276
fyoduor,0.04204418486548542
mystruggle___,0.041960903867655115
pfmmipy,0.04192360391833171
quip_zenshare,0.04182639005230401
1975nk,0.04180644542825412
madamemoisse,0.041699069871669936
yantoyamazaki,0.04169877084731803
badp3ople,0.04169877084731803
potongannf,0.041476336437485474
illusionnary,0.041476336437485474
cleyopatttra,0.041476336437485474
sahrra00,0.041476336437485474
sss_aeri,0.041476336437485474
vasyaksm,0.041476336437485474
aresvvv,0.041476336437485474
princes54798837,0.041476336437485474
junepiyaw,0.041476336437485474
rillakuman,0.041476336437485474
sharon_zenius,0.03968921773182446
bljr30mnit1hari,0.03926550500033385
lizzypeachyy,0.03926550500033385
newhopekila,0.03926550500033385
rapinzeul,0.03926550500033385
rigelarion,0.03926550500033385
nevermindeuz,0.03926550500033385
anazureine,0.03926550500033385
jinsuyya,0.038653815523288795
zenambis,0.037889566498946085
lightfu17,0.03661506081948937
zeniusambis,0.03658203933942086
tetsuuuuuw,0.03652025237039226
vazlae,0.036497939879052255
gustity1,0.03643057259606924
lkwrdh_,0.03639026864433662
chewmist,0.03623898168967579
goenawan_dedi,0.03621273465648818
uburuburuu,0.03614107797800901
imkhsnh,0.03613555946653757
hujkwqe83dja,0.0360872442924627
canwehvebutter,0.036073916823874244
vitamiiinc_,0.03607020250168673
piwchicks,0.03604521005234486
zeniusssss,0.0360441670639532
awcitrun,0.0360441670639532
lagihbelajar,0.0360441670639532
studstudiee,0.0360441670639532
jejejesiee_,0.035974851651710826
jesstjakep,0.03594907389416899
halusinasiberat,0.035948549927099026
2022camaba,0.035948549927099026
meyskezz,0.035948031580019454
diveinkyoto,0.035948031580019454
lmansa3,0.035947774485795767
yukbisasemangat,0.035947774485795767
therebahan,0.035947774485795767
jennstudy,0.035947774485795767
yyours_s,0.035947774485795767
hilycious,0.035947774485795767
junggjaejhyun,0.035947774485795767
alonevrydy,0.035947774485795767
yellingoutt,0.035947774485795767
maillov_,0.035947774485795767
homerunballcola,0.035947774485795767
chelsstudy,0.035947774485795767
studyayle,0.035947774485795767
letskol,0.035947774485795767
pweasev,0.035851896096085696
nadshevi,0.035851896096085696
zarschev,0.035851896096085696
akuambisswoyyy,0.035851896096085696
sriwijaya_bsnjo,0.035851896096085696
fitraygaksih,0.035851896096085696
coelenterataa,0.035851896096085696
rllazzz,0.035851896096085696
feeeysa,0.035851896096085696
dipmintae,0.035851896096085696
yoursunnshine_,0.035851896096085696
yoursiriusss,0.035851896096085696
yournaddy,0.035851896096085696
deskiafp,0.035851896096085696
yaaainisiapa,0.035851896096085696
squisholic_,0.035851896096085696
fckinshtsboi,0.035851896096085696
petzoldzzz,0.035851896096085696
sparklingbub,0.035851896096085696
rilexnchillin,0.035851896096085696
pfmbahagia,0.035851896096085696
spacdust,0.035851896096085696
kinanttan,0.035851896096085696
who_realizes,0.035851896096085696
soodam_husband,0.035851896096085696
amortenntia,0.035851896096085696
pjmrawrr,0.035851896096085696
djx_dejuna,0.035851896096085696
fiyyrlsst,0.035851896096085696
peacebeuponn,0.035851896096085696
galvanicells,0.035851896096085696
cciwworr,0.035851896096085696
fylaworld,0.035851896096085696
gadis_azalia,0.035851896096085696
amersyu_,0.035851896096085696
pixieeeest,0.035851896096085696
kimcheeesy,0.035851896096085696
minhyunglee283,0.035851896096085696
pinginjulid,0.035851896096085696
noecharm,0.035851896096085696
minjyvers,0.035851896096085696
kimdoieily,0.035851896096085696
minnnnnhoo,0.035851896096085696
awngantukbanget,0.035851896096085696
peachymochaa,0.035851896096085696
chemiseutry,0.035851896096085696
khonsanailahr,0.035851896096085696
boncabeteri,0.035851896096085696
ayosmgtt,0.035851896096085696
pikarosiawati,0.035851896096085696
alyeolmae,0.035851896096085696
allyaazara,0.035851896096085696
tubatu_addicted,0.035851896096085696
alluireme,0.035851896096085696
mauuaungambis,0.035851896096085696
pharmacidst,0.035851896096085696
fujoshijati,0.035851896096085696
pcrnanamikento,0.035851896096085696
shotarozaki,0.035851896096085696
detavyx,0.035851896096085696
pejuanggkuliah,0.035851896096085696
didodiei,0.035851896096085696
pfmstudy,0.035851896096085696
sstudyaddict,0.035851896096085696
zerotohiros,0.035851896096085696
ynamsaeng,0.035851896096085696
pyovn,0.035851896096085696
gkprnhmnggvaway,0.035851896096085696
ladadidaladida1,0.035851896096085696
xkylz_dll,0.035851896096085696
ulululluu,0.035851896096085696
xnysaz,0.035851896096085696
ucancallmeyunn,0.035851896096085696
xo_fa_xo,0.035851896096085696
ucaaaaay,0.035851896096085696
gembilgembulcom,0.035851896096085696
glinteayeah,0.035851896096085696
biancallysta_,0.035851896096085696
anightthinker_,0.035851896096085696
tweetscognito,0.035851896096085696
geezrekk,0.035851896096085696
geezmarklee,0.035851896096085696
merdepluie,0.035851896096085696
gbrl_pm,0.035851896096085696
garistanpabawah,0.035851896096085696
bbstrawberry25,0.035851896096085696
urbebl0uffee,0.035851896096085696
indomiejpg,0.035851896096085696
biiruuuuu,0.035851896096085696
kuyangexpress,0.035851896096085696
klandastine,0.035851896096085696
xaracryst,0.035851896096085696
choxco,0.035851896096085696
bobarlgrs,0.035851896096085696
ratutorojoyo,0.035851896096085696
blueewyy,0.035851896096085696
rawrrchio,0.035851896096085696
myeonchive,0.035851896096085696
lacibollalaa,0.035851896096085696
kyungbunnyy,0.035851896096085696
kyuutiies,0.035851896096085696
winztersoldier,0.035851896096085696
merciaurevoi,0.035851896096085696
googiebulet,0.035851896096085696
wintervkooo,0.035851896096085696
urheartbreakx,0.035851896096085696
urfavshuman,0.035851896096085696
venusblaack,0.035851896096085696
bismillahbisaye,0.035851896096085696
baealiel,0.035851896096085696
fogbround,0.035851896096085696
nantikepikiran,0.035851896096085696
dooty1016,0.035851896096085696
arshjch,0.035851896096085696
90schan_,0.035851896096085696
____meenn,0.035851896096085696
arloaddict,0.035851896096085696
keutychia,0.035851896096085696
wantitsobad,0.035851896096085696
yorobunzen,0.035851896096085696
adaajeyekan,0.035851896096085696
yoooambiss,0.035851896096085696
flymejk,0.035851896096085696
fluffyyriki,0.035851896096085696
ambispgnfk,0.035851896096085696
apalo_cari2gw,0.035851896096085696
floreaaa_ft,0.035851896096085696
memeeou,0.035851896096085696
whish3s,0.035851896096085696
1navihd,0.035851896096085696
abccccika,0.035851896096085696
abcdreaam,0.035851896096085696
