Node,Closeness Centrality
schfess,0.20610100822616398
zenius_oliv,0.1973695712668513
hopefullyperf,0.1903872991512811
byunpov,0.18546641530512498
amsterdamlaf,0.1847528718310301
zenbyzaa,0.18095071128030454
ftievi,0.18079349954157276
sbmptnfess,0.17684984530228065
subschfess,0.173507491361048
jinsuyya,0.1670090834449039
fyoduor,0.16415460266028156
matchamaeleon,0.16261525238787464
mitrabelajarmu,0.16177246797539538
keyystudies,0.16173055800959862
sharon_zenius,0.16131264959096916
lizzypeachyy,0.16089689533944607
bljr30mnit1hari,0.16089689533944607
newhopekila,0.16089689533944607
anazureine,0.16089689533944607
rigelarion,0.16089689533944607
nevermindeuz,0.16089689533944607
rapinzeul,0.16089689533944607
sedikidnormal,0.16068982082806968
1975nk,0.16003074953013346
mystruggle___,0.15994874555907015
pfmmipy,0.15994874555907015
madamemoisse,0.1598668255869528
quip_zenshare,0.1598668255869528
badp3ople,0.1597849894847839
yantoyamazaki,0.1597849894847839
illusionnary,0.15962156837562022
aresvvv,0.15962156837562022
rillakuman,0.15962156837562022
vasyaksm,0.15962156837562022
junepiyaw,0.15962156837562022
sahrra00,0.15962156837562022
sss_aeri,0.15962156837562022
potongannf,0.15962156837562022
princes54798837,0.15962156837562022
cleyopatttra,0.15962156837562022
vazlae,0.15285992995030626
chewmist,0.15200388456709293
jejejesiee_,0.14970742300169082
lightfu17,0.14917083725616503
helloyoon4,0.14867348271422973
imkhsnh,0.14835550235671355
bertanyarl,0.1477236048076315
zenambis,0.1477236048076315
lkwrdh_,0.14747931819443674
tetsuuuuuw,0.14668231999930703
utbkfess,0.14664786326451743
goenawan_dedi,0.14640711864846406
gustity1,0.14637279107082082
canwehvebutter,0.14613294801429091
piwchicks,0.14555373138658212
jesstjakep,0.14548588998299947
zeniusambis,0.14548588998299947
2022camaba,0.14535039672108283
hujkwqe83dja,0.14535039672108283
halusinasiberat,0.14535039672108283
uburuburuu,0.14528274468630456
vitamiiinc_,0.14528274468630456
studstudiee,0.14521515559829046
meyskezz,0.14521515559829046
lagihbelajar,0.14521515559829046
zeniusssss,0.14521515559829046
diveinkyoto,0.14521515559829046
awcitrun,0.14521515559829046
hilycious,0.14514762936922826
therebahan,0.14514762936922826
chelsstudy,0.14514762936922826
yyours_s,0.14514762936922826
letskol,0.14514762936922826
yukbisasemangat,0.14514762936922826
homerunballcola,0.14514762936922826
jennstudy,0.14514762936922826
maillov_,0.14514762936922826
alonevrydy,0.14514762936922826
junggjaejhyun,0.14514762936922826
yellingoutt,0.14514762936922826
studyayle,0.14514762936922826
lmansa3,0.14514762936922826
kecoayeppo,0.1450801659114689
padukachanyeol,0.1450801659114689
istrikmdirumah,0.1450801659114689
who_realizes,0.1450801659114689
kangambisd,0.1450801659114689
inumakitogel,0.1450801659114689
kamobelajar,0.1450801659114689
itsaeril,0.1450801659114689
arloaddict,0.1450801659114689
bluelowsh,0.1450801659114689
kerjarhodey,0.1450801659114689
mekdiiioreo,0.1450801659114689
notconnectioonn,0.1450801659114689
apalo_cari2gw,0.1450801659114689
naufalaal_,0.1450801659114689
ndatawlah,0.1450801659114689
arshjch,0.1450801659114689
nestleysya,0.1450801659114689
neupuz,0.1450801659114689
ominotme,0.1450801659114689
asheillette,0.1450801659114689
noecharm,0.1450801659114689
jesjeurs,0.1450801659114689
ayosmgtt,0.1450801659114689
baealiel,0.1450801659114689
sugasecretary,0.1450801659114689
bismillahbisaye,0.1450801659114689
blueewyy,0.1450801659114689
mbawangg,0.1450801659114689
jjkslof,0.1450801659114689
jjhnayy,0.1450801659114689
jichanxm,0.1450801659114689
okgurlzs,0.1450801659114689
miloray6,0.1450801659114689
iniprastyi,0.1450801659114689
pyovn,0.1450801659114689
keutychia,0.1450801659114689
myeonchive,0.1450801659114689
lalastudyy,0.1450801659114689
lalamayla_,0.1450801659114689
ratutorojoyo,0.1450801659114689
rawrrchio,0.1450801659114689
ladadidaladida1,0.1450801659114689
lacibollalaa,0.1450801659114689
kyuutiies,0.1450801659114689
kyungbunnyy,0.1450801659114689
klandastine,0.1450801659114689
kuyangexpress,0.1450801659114689
kuntoanjrit,0.1450801659114689
googiebulet,0.1450801659114689
glinteayeah,0.1450801659114689
indomiejpg,0.1450801659114689
gkprnhmnggvaway,0.1450801659114689
gembilgembulcom,0.1450801659114689
geezrekk,0.1450801659114689
geezmarklee,0.1450801659114689
renataagustin17,0.1450801659114689
romeobogeng,0.1450801659114689
gbrl_pm,0.1450801659114689
garistanpabawah,0.1450801659114689
rr4nd0mm,0.1450801659114689
rrenjunh,0.1450801659114689
